ref,city,county,district,area_m2,ground_m2,nb_room,nb_bedroom,pool,cellar,garage,output
/fr/properties/30731a-133656.htm,Saint-Maurin,Lot-et-Garonne,Aquitaine,100,,5,3,,,,210000
/fr/properties/88486a-95148cj265.htm,Castelnau-de-Médoc,Gironde,Aquitaine,328,3700,9,4,,,True,840000
/fr/properties/44945a-m728.htm,Peyrehorade,Landes,Aquitaine,814,100000,19,8,True,True,,1950000
/fr/properties/32488a-2534.htm,Bourlens,Lot-et-Garonne,Aquitaine,406,13200,14,10,,,,975200
/fr/properties/32488a-2557.htm,Monsempron-Libos,Lot-et-Garonne,Aquitaine,99,35,4,3,,,,101520
/fr/properties/44945a-a403.htm,Biarritz,Pyrénées-Atlantiques,Aquitaine,75,,3,2,,,,650000
/fr/properties/7140a-4262jp.htm,Bergerac,Dordogne,Aquitaine,165,2190,6,4,,,True,318000
/fr/properties/52956a-128mx2211.htm,Saint-Germain-et-Mons,Dordogne,Aquitaine,132,1441,5,4,,,,205000
/fr/properties/179101a-3006.htm,Bénesse-Maremne,Landes,Aquitaine,107,567,4,3,,,True,355000
/fr/properties/33922a-145mx977.htm,Villeneuve-sur-Lot,Lot-et-Garonne,Aquitaine,170,14600,6,4,,True,,270000
/fr/properties/56075a-par140.htm,Langon,Gironde,Aquitaine,185,200,4,3,True,,,385000
/fr/properties/7140a-4465jch.htm,Bergerac,Dordogne,Aquitaine,203,34400,4,3,,,,369000
/fr/properties/55756a-7131.htm,Villeneuve-sur-Lot,Lot-et-Garonne,Aquitaine,170,2348,7,5,,,,165000
/fr/properties/15059a-d2623.htm,Duras,Lot-et-Garonne,Aquitaine,130,4184,,2,,,,180200
/fr/properties/33923a-94878mx1344.htm,Saint-Pandelon,Landes,Aquitaine,375,9000,15,9,,,True,485000
/fr/properties/44945a-m730.htm,Laruns,Pyrénées-Atlantiques,Aquitaine,110,4600,4,2,,,,295000
/fr/properties/2756a-29230349.htm,Virsac,Gironde,Aquitaine,82,406,4,3,,,,222500
/fr/properties/55756a-7177.htm,Saint-Sylvestre-sur-Lot,Lot-et-Garonne,Aquitaine,129,714,6,5,,,,156000
/fr/properties/182561a-34.htm,Saint-Etienne-de-Fougères,Lot-et-Garonne,Aquitaine,260,6000,7,5,,,,195000
/fr/properties/52387a-696_20.htm,Artix,Pyrénées-Atlantiques,Aquitaine,88,38,4,3,,,,155000
/fr/properties/32488a-2556.htm,Tournon-d'Agenais,Lot-et-Garonne,Aquitaine,150,,6,3,,,,500000
/fr/properties/55756a-7199.htm,Villeneuve-sur-Lot,Lot-et-Garonne,Aquitaine,,1257,,,,,,35000
/fr/properties/55756a-7209.htm,Villeneuve-sur-Lot,Lot-et-Garonne,Aquitaine,120,5000,5,6,,,,219000
/fr/properties/44945a-m727.htm,Soorts-Hossegor,Landes,Aquitaine,180,1135,6,5,,,,1165000
/fr/properties/7140a-4178jch.htm,Saussignac,Dordogne,Aquitaine,150,11500,4,3,True,,True,338000
/fr/properties/30145a-1653.htm,Saint-Palais,Pyrénées-Atlantiques,Aquitaine,180,3485,5,4,,,,284850
/fr/properties/9023a-630.htm,Bordeaux,Gironde,Aquitaine,450,3000,10,5,,,,1397000
/fr/properties/36235a-1040.htm,Arbis,Gironde,Aquitaine,115,930,5,3,,,,191700
/fr/properties/59682a-greg3852.htm,Feugarolles,Lot-et-Garonne,Aquitaine,139,440,4,2,True,,True,167000
/fr/properties/34522a-8792.htm,Saint-Martial-d'Artenset,Dordogne,Aquitaine,189,2569,10,6,,,,286000
/fr/properties/38988a-119.htm,Hautefort,Dordogne,Aquitaine,300,,10,,,,,339000
/fr/properties/32488a-2576.htm,Monsempron-Libos,Lot-et-Garonne,Aquitaine,75,4250,5,3,,,,71000
/fr/properties/185604a-735031.htm,Saint-Sulpice-et-Cameyrac,Gironde,Aquitaine,84,2180,4,2,,,,340000
/fr/properties/94715.htm,Sainte-Eulalie-d'Eymet,Dordogne,Aquitaine,318,10600,18,7,True,,True,520000
/fr/properties/57097a-124605sg.htm,Herré,Landes,Aquitaine,108,2602,5,3,,,,189000
/fr/properties/6757a-1210.htm,Mézos,Landes,Aquitaine,240,3000,6,5,,,,248000
/fr/properties/29313a-29177040.htm,Biarritz,Pyrénées-Atlantiques,Aquitaine,60,,3,2,,,,350000
/fr/properties/1927a-6403573565.htm,Serres-Castet,Pyrénées-Atlantiques,Aquitaine,136,1000,6,4,,,True,289000
/fr/properties/44544a-8500262696.htm,Bordeaux,Gironde,Aquitaine,550,420,,,,True,,5750000
/fr/properties/181584a-LS1028.htm,Saint-Cybranet,Dordogne,Aquitaine,135,2998,5,4,,,,205000
/fr/properties/55756a-7207.htm,Villeneuve-sur-Lot,Lot-et-Garonne,Aquitaine,413,5112,7,6,,,,349900
/fr/properties/54830a-r20190810n8.htm,Bordeaux,Gironde,Aquitaine,122,,5,3,,,,556500
/fr/properties/20762a-mdh2020025.htm,Bidache,Pyrénées-Atlantiques,Aquitaine,280,73000,12,6,,,True,735000
/fr/properties/30185a-1613.htm,Tartas,Landes,Aquitaine,140,3328,6,4,,,True,190000
/fr/properties/67073a-7501177499.htm,Monbazillac,Dordogne,Aquitaine,288,3000,7,3,,,True,598500
