Unnamed: 0,ref,city,departement,region,titre,type,living_area_m2,lot_size_m2,nb_room,nb_bedroom,pool,cellar,garage,output
0,/fr/properties/20949a-s2519.htm,Thiviers,Dordogne,Aquitaine,Manoir sur parc arboré,manoir,385.0,3446.0,12.0,7.0,False,True,False,475000
1,/fr/properties/66377a-4508aail.htm,Casteljaloux,Lot-et-Garonne,Aquitaine,Grand Terrain constructible à 5 minutes du centre de Casteljaloux,terrain,8610.0,8610.0,,,False,False,False,74000
2,/fr/properties/58577a-609.htm,Périgueux,Dordogne,Aquitaine,Restaurant fond et mur 200m² avec terrasse et terrain,fond de commerce,200.0,,5.0,,False,True,True,386900
3,/fr/properties/2756a-30293986.htm,Blaye,Gironde,Aquitaine,Maison,maison,154.0,901.0,6.0,5.0,False,False,False,170500
4,/fr/properties/30412a-127963rr.htm,Bougarber,Pyrénées-Atlantiques,Aquitaine,Maison/Villa 8 pièces,autre,169.0,1500.0,8.0,4.0,False,False,True,265000
5,/fr/properties/79044a-25697.htm,Sarlat-la-Canéda,Dordogne,Aquitaine,"Exclusivite, Fond de commerce d'un Restaurant en activité, excellente réputation, emplacement N'1",fond de commerce,280.0,750.0,9.0,2.0,False,False,False,189000
6,/fr/properties/9849a-ap2037.htm,Saint-Cyprien,Dordogne,Aquitaine,Propriété en pierres avec piscine et vue panoramique,autre,102.0,29900.0,6.0,2.0,False,False,False,239000
7,/fr/properties/67076a-7501190053.htm,Saint-Paul-Lizonne,Dordogne,Aquitaine,Maison de caractère,maison,192.0,17200.0,8.0,5.0,False,False,True,406175
8,/fr/properties/29746a-1081.htm,Seignosse,Landes,Aquitaine,Propriete De Standing Sur Le Golf De Seignosse,autre,220.0,950.0,8.0,5.0,True,False,True,1396500
9,/fr/properties/54830a-c20200201.htm,Aubie-et-Espessas,Gironde,Aquitaine,Joli terrain constructible et arboré de 900 m2 à 2 minutes de Saint André de Cubzac,terrain,900.0,900.0,,,False,False,False,89500
10,/fr/properties/59388a-Bb.htm,Sarlat-la-Canéda,Dordogne,Aquitaine,Beautiful 6 bedroom with Chambres d hôte (Sleeps 7) in the centre of Sarlat-La-Canéda,autre,15000.0,15000.0,7.0,7.0,True,False,False,824000
11,/fr/properties/27853a-71606.htm,Morganx,Landes,Aquitaine,Typique Maison Basco Landaise,maison,260.0,4400.0,5.0,4.0,True,True,False,319000
12,/fr/properties/81575a-230392.htm,Carves,Dordogne,Aquitaine,Maison de Maître,maison,230.0,225000.0,9.0,3.0,True,False,False,595000
13,/fr/properties/31214a-30286440.htm,Villefranche-de-Lonchat,Dordogne,Aquitaine,Maison,maison,139.0,,8.0,,False,False,False,39000
14,/fr/properties/67032a-7501190215.htm,Bergerac,Dordogne,Aquitaine,Maison,maison,227.0,1969.0,6.0,4.0,True,False,True,299500
15,/fr/properties/67076a-7501190123.htm,Saint-Félix-de-Bourdeilles,Dordogne,Aquitaine,Propriété,autre,,,16.0,,True,False,False,628000
16,/fr/properties/58509a-760576.htm,Sainte-Livrade-sur-Lot,Lot-et-Garonne,Aquitaine,Vente Maison/villa 4 pièces,autre,176.0,5637.0,4.0,3.0,False,False,False,287000
17,/fr/properties/67096a-7501190109.htm,Saint-Rabier,Dordogne,Aquitaine,Maison contemporaine,maison,208.0,21900.0,7.0,5.0,True,True,True,525000
18,/fr/properties/54830a-c20200210.htm,Le Haillan,Gironde,Aquitaine,"Le Haillan Proche Centre, Terrain Constructible De 431 M2",terrain,431.0,431.0,,,False,False,False,253000
19,/fr/properties/67032a-7501190214.htm,Bergerac,Dordogne,Aquitaine,Maison,maison,182.0,2600.0,6.0,4.0,False,False,True,299000
20,/fr/properties/19641a-47722.htm,Tournon-d'Agenais,Lot-et-Garonne,Aquitaine,"Jolie maison de village avec cours, prés de Tournon d'Agenais, Lot et Garonne",maison,86.0,100.0,4.0,3.0,False,False,False,175000
21,/fr/properties/54830a-f20201203.htm,Bordeaux,Gironde,Aquitaine,Bordeaux Bastide Maison de ville T4 neuve proche place Stalingrad,maison,83.0,,4.0,3.0,False,False,True,485000
22,/fr/properties/82435a-8500265332.htm,Bouniagues,Dordogne,Aquitaine,"Bergerac Sud, maison 170m², 3 chbs, cuisine équipée, Terrain",maison,170.0,642.0,5.0,3.0,False,False,True,185000
23,/fr/properties/48856a-55-lot2.htm,Saint-Palais,Pyrénées-Atlantiques,Aquitaine,10 Min Saint Palais,autre,1600.0,1600.0,,,False,False,False,39500
24,/fr/properties/67073a-7501190144.htm,Bergerac,Dordogne,Aquitaine,Villa d'architecte,villa,283.0,11100.0,8.0,4.0,True,False,True,453500
