list_ville,list_departement,list_region
mimbaste,landes,aquitaine
bordeaux,gironde,
bergerac,dordogne,
libourne,pyrénées-atlantiques,
monpazier,lot-et-garonne,
quinsac,,
bazas,,
gujan-mestras,,
gironde-sur-dropt,,
le haillan,,
la réole,,
beautiran,,
la teste-de-buch,,
nantheuil,,
saint-front-de-pradoux,,
langon,,
cudos,,
portets,,
bayonne,,
créon,,
pessac,,
agen,,
montussan,,
mérignac,,
saint-sulpice-d'excideuil,,
aubie-et-espessas,,
carbon-blanc,,
le bouscat,,
sarlat-la-canéda,,
arcachon,,
biganos,,
léogeats,,
saint-yzan-de-soudiac,,
fargues-saint-hilaire,,
pau,,
cavignac,,
saint-cyprien,,
croignon,,
blanquefort,,
la bastide-clairence,,
bidart,,
monflanquin,,
verteillac,,
saint-cernin-de-l'herm,,
rouffignac-saint-cernin-de-reilhac,,
lalinde,,
sauveterre-la-lémance,,
auros,,
dax,,
le buisson-de-cadouin,,
cenon,,
marmande,,
lège-cap-ferret,,
cénac-et-saint-julien,,
ribérac,,
eynesse,,
saint-mesmin,,
monségur,,
grayan-et-l'hôpital,,
sainte-foy-de-longas,,
sauveterre-de-béarn,,
salies-de-béarn,,
villefranche-de-lonchat,,
mazerolles,,
lédat,,
sainte-foy-la-grande,,
saint-louis-de-montferrand,,
arthez-de-béarn,,
saint-savin,,
saint-aulaye,,
saint-germain-et-mons,,
prigonrieux,,
eysines,,
miramont-de-guyenne,,
saint-mariens,,
ascain,,
sarlande,,
seignosse,,
cestas,,
tournon-d'agenais,,
sarliac-sur-l'isle,,
saint-geniès,,
cazideroque,,
bègles,,
castelnaud-la-chapelle,,
gavaudun,,
messanges,,
talence,,
thiviers,,
villeneuve-sur-lot,,
périgueux,,
blaye,,
bougarber,,
saint-laurent,,
la brède,,
saint-pastour,,
duras,,
vitrac,,
pujols,,
morganx,,
carves,,
sainte-livrade-sur-lot,,
bouniagues,,
saint-palais,,
dolmayrac,,
aiguillon,,
lesperon,,
saint-vite,,
terrasson-lavilledieu,,
briscous,,
thézac,,
coux-et-bigaroque,,
saint-andré-de-cubzac,,
fumel,,
le teich,,
biarritz,,
aire-sur-l'adour,,
mussidan,,
guîtres,,
saint-aquilin,,
lisle,,
beaumont-du-périgord,,
laroque-timbaut,,
marcheprime,,
le passage,,
biscarrosse,,
berson,,
salles,,
marsac-sur-l'isle,,
saint-hilaire-de-lusignan,,
monsempron-libos,,
savignac-sur-leyze,,
blasimon,,
saint-martin-de-seignanx,,
sainte-eulalie,,
eymet,,
trélissac,,
montayral,,
laruscade,,
anglet,,
villenave-d'ornon,,
lagor,,
hagetmau,,
puymirol,,
navarrenx,,
capbreton,,
fanlac,,
saint-pardoux-et-vielvic,,
cause-de-clérans,,
bourrou,,
arcangues,,
orthez,,
pomps,,
auriac-du-périgord,,
brantôme,,
lesparre-médoc,,
habas,,
roquefort,,
pineuilh,,
castillonnès,,
gaillan-en-médoc,,
saint-laurent-médoc,,
calès,,
soorts-hossegor,,
sainte-colombe-de-villeneuve,,
saint-laurent-des-combes,,
casseneuil,,
saint-emilion,,
saint-pardon-de-conques,,
vézac,,
saint-loubès,,
bon-encontre,,
sanguinet,,
coulaures,,
salleboeuf,,
peyre,,
captieux,,
sainte-croix,,
belin-béliet,,
boulazac,,
cours-de-pile,,
la sauvetat-du-dropt,,
saint-médard-d'excideuil,,
limeuil,,
jayac,,
pont-du-casse,,
la force,,
lucbardez-et-bargues,,
issigeac,,
coubjours,,
villefranche-du-périgord,,
ginestet,,
macau,,
le bugue,,
capdrot,,
abzac,,
lescar,,
cancon,,
lys,,
vignes,,
moncrabeau,,
montcaret,,
saint-paul-lès-dax,,
mios,,
sainte-eulalie-d'ans,,
gageac-et-rouillac,,
le taillan-médoc,,
mescoules,,
bégadan,,
tonneins,,
labretonie,,
grateloup-saint-gayrand,,
bias,,
prayssas,,
laugnac,,
berrogain-laruns,,
lafitte-sur-lot,,
brugnac,,
tombeboeuf,,
astaffort,,
tourtrès,,
belvès,,
port-sainte-marie,,
nontron,,
monclar,,
saint-louis-en-l'isle,,
celles,,
saint-etienne-de-fougères,,
molières,,
camiran,,
champcevinel,,
saint-barthélemy-de-bellegarde,,
saint-félix-de-reillac-et-mortemart,,
montpon-ménestérol,,
branne,,
saint-laurent-des-vignes,,
saint-astier,,
mensignac,,
soustons,,
saint-jean-de-duras,,
siorac-en-périgord,,
autevielle-saint-martin-bideren,,
thenon,,
galapian,,
mareuil,,
montauriol,,
le barp,,
grand-brassac,,
allemans-du-dropt,,
parentis-en-born,,
penne-d'agenais,,
gardonne,,
léognan,,
saint-vincent-de-tyrosse,,
saint-julien-en-born,,
daglan,,
bassens,,
peyrehorade,,
angresse,,
montastruc,,
saint-pierre-sur-dropt,,
saint-seurin-sur-l'isle,,
cauzac,,
gan,,
saint-jean-de-luz,,
neuvic,,
monbazillac,,
léguillac-de-cercles,,
teyjat,,
naussannes,,
mimizan,,
vaunac,,
arès,,
arthez-d'armagnac,,
montpezat,,
les peintures,,
jumilhac-le-grand,,
beynac-et-cazenac,,
journiac,,
le temple-sur-lot,,
urrugne,,
salignac-eyvigues,,
saint-vincent-de-paul,,
andernos-les-bains,,
saint-sylvestre-sur-lot,,
montfort-en-chalosse,,
latresne,,
hautefage-la-tour,,
bruges,,
seyches,,
lamonzie-saint-martin,,
coutras,,
saint-georges,,
saint-jean-de-marsacq,,
sainte-nathalène,,
sireuil,,
saint-julien-de-crempse,,
montignac,,
pouillon,,
pomarez,,
sainte-alvère,,
villeréal,,
pressignac-vicq,,
audenge,,
sauveterre-de-guyenne,,
pontenx-les-forges,,
dausse,,
labouheyre,,
coulx,,
lévignac-de-guyenne,,
saint-sever,,
allas-les-mines,,
champniers-et-reilhac,,
hourtin,,
mont-de-marsan,,
douzillac,,
vergt,,
château-l'evêque,,
chancelade,,
saint-jean-pied-de-port,,
baneuil,,
festalemps,,
prignac-et-marcamps,,
beaugas,,
mialet,,
landiras,,
casteljaloux,,
porchères,,
saint-saud-lacoussière,,
saint-chamassy,,
busserolles,,
sigoulès,,
blaignan,,
excideuil,,
pomport,,
bouzic,,
payzac,,
bourgougnague,,
lanton,,
cabanac-et-villagrains,,
saint-jory-de-chalais,,
labenne,,
sainte-eulalie-en-born,,
lembeye,,
saint-pierre-de-frugie,,
tosse,,
misson,,
garlin,,
besse,,
liorac-sur-louyre,,
mézos,,
saint-eutrope-de-born,,
maylis,,
douville,,
fargues-sur-ourbise,,
les lèves-et-thoumeyragues,,
romagne,,
cauneille,,
cissac-médoc,,
couquèques,,
saint-avit-sénieur,,
nay,,
bosset,,
sabres,,
le pian-médoc,,
les eyzies-de-tayac-sireuil,,
ousse-suzan,,
piégut-pluviers,,
savignac-de-nontron,,
alles-sur-dordogne,,
ménesplet,,
saint-aubin-de-blaye,,
guéthary,,
lasseube,,
coulounieix-chamiers,,
groléjac,,
meyrals,,
listrac-médoc,,
pugnac,,
vélines,,
marcillac-saint-quentin,,
mées,,
issac,,
gabarret,,
saint-sauveur-de-puynormand,,
castelnau-de-médoc,,
barcus,,
saint-pierre-du-mont,,
francescas,,
gradignan,,
saint-crépin-de-richemont,,
ludon-médoc,,
moliets-et-maa,,
saint-laurent-des-hommes,,
saint-martin-de-laye,,
arbonne,,
lacapelle-biron,,
landerrouat,,
nailhac,,
le lardin-saint-lazare,,
gensac,,
roquebrune,,
lit-et-mixe,,
gontaud-de-nogaret,,
saint-rabier,,
fouleix,,
bourdeilles,,
saint-jean-d'illac,,
blanquefort-sur-briolance,,
sauternes,,
clairac,,
tarnos,,
sorges,,
saint-martin-du-bois,,
saint-aubin-de-lanquais,,
lavardac,,
la roque-gageac,,
mauzac-et-grand-castang,,
périssac,,
bayac,,
saint-christoly-médoc,,
salignac,,
damazan,,
gout-rossignol,,
targon,,
lacanau,,
bourgnac,,
agonac,,
plassac,,
frontenac,,
saint-andré-de-seignanx,,
gauriac,,
générac,,
la coquille,,
firbeix,,
hostens,,
marsas,,
castels,,
guinarthe-parenties,,
sencenac-puy-de-fourches,,
juillac,,
fossès-et-baleyssac,,
roaillan,,
pellegrue,,
taillecavat,,
serres-morlaàs,,
navailles-angos,,
saint-médard-en-jalles,,
moirax,,
hinx,,
sourzac,,
sarrazac,,
saint-pardoux-la-rivière,,
monplaisant,,
marsalès,,
montagnac-sur-auvignon,,
auterrive,,
parleboscq,,
eyrans,,
mouguerre,,
plaisance,,
saugnac-et-cambran,,
nérac,,
feugarolles,,
biarrotte,,
teuillac,,
le pizou,,
saint-sauveur,,
lolme,,
margaux,,
ciboure,,
manzac-sur-vern,,
saint-pé-saint-simon,,
massels,,
ambarès-et-lagrave,,
saint-méard-de-gurçon,,
saint-amand-de-coly,,
morlanne,,
irissarry,,
urt,,
candresse,,
pinel-hauterive,,
